0	0.00E+00	0.00E+00	0.00E+00
0.002	2.00E-03	4.00E-06	8.00E-09
0.004	4.00E-03	1.20E-05	3.20E-08
0.006	6.00E-03	2.40E-05	8.00E-08
0.008	8.00E-03	4.00E-05	1.60E-07
0.01	1.00E-02	6.00E-05	2.80E-07
0.012	1.20E-02	8.40E-05	4.48E-07
0.014	1.40E-02	1.12E-04	6.72E-07
0.016	1.60E-02	1.44E-04	9.60E-07
0.018	1.80E-02	1.80E-04	1.32E-06
0.02	2.00E-02	2.20E-04	1.76E-06
0.022	2.20E-02	2.64E-04	2.29E-06
0.024	2.40E-02	3.12E-04	2.91E-06
0.026	2.60E-02	3.64E-04	3.64E-06
0.028	2.80E-02	4.20E-04	4.48E-06
0.03	3.00E-02	4.80E-04	5.44E-06
0.032	3.20E-02	5.44E-04	6.53E-06
0.034	3.40E-02	6.12E-04	7.75E-06
0.036	3.60E-02	6.84E-04	9.12E-06
0.038	3.80E-02	7.60E-04	1.06E-05
0.04	4.00E-02	8.40E-04	1.23E-05
0.042	4.20E-02	9.24E-04	1.42E-05
0.044	4.40E-02	1.01E-03	1.62E-05
0.046	4.60E-02	1.10E-03	1.84E-05
0.048	4.80E-02	1.20E-03	2.08E-05
0.05	5.00E-02	1.30E-03	2.34E-05
0.052	5.20E-02	1.40E-03	2.62E-05
0.054	5.40E-02	1.51E-03	2.92E-05
0.056	5.60E-02	1.62E-03	3.25E-05
0.058	5.80E-02	1.74E-03	3.60E-05
0.06	6.00E-02	1.86E-03	3.97E-05
0.062	6.20E-02	1.98E-03	4.36E-05
0.064	6.40E-02	2.11E-03	4.79E-05
0.066	6.60E-02	2.24E-03	5.24E-05
0.068	6.80E-02	2.38E-03	5.71E-05
0.07	7.00E-02	2.52E-03	6.22E-05
0.072	7.20E-02	2.66E-03	6.75E-05
0.074	7.40E-02	2.81E-03	7.31E-05
0.076	7.60E-02	2.96E-03	7.90E-05
0.078	7.80E-02	3.12E-03	8.53E-05
0.08	8.00E-02	3.28E-03	9.18E-05
0.082	8.20E-02	3.44E-03	9.87E-05
0.084	8.40E-02	3.61E-03	1.06E-04
0.086	8.60E-02	3.78E-03	1.14E-04
0.088	8.80E-02	3.96E-03	1.21E-04
0.09	9.00E-02	4.14E-03	1.30E-04
0.092	9.20E-02	4.32E-03	1.38E-04
0.094	9.40E-02	4.51E-03	1.47E-04
0.096	9.60E-02	4.70E-03	1.57E-04
0.098	9.80E-02	4.90E-03	1.67E-04
0.1	1.00E-01	5.10E-03	1.77E-04
0.102	1.02E-01	5.30E-03	1.87E-04
0.104	1.04E-01	5.51E-03	1.98E-04
0.106	1.06E-01	5.72E-03	2.10E-04
0.108	1.08E-01	5.94E-03	2.22E-04
0.11	1.10E-01	6.16E-03	2.34E-04
0.112	1.12E-01	6.38E-03	2.47E-04
0.114	1.14E-01	6.61E-03	2.60E-04
0.116	1.16E-01	6.84E-03	2.74E-04
0.118	1.18E-01	7.08E-03	2.88E-04
0.12	1.20E-01	7.32E-03	3.03E-04
0.122	1.22E-01	7.56E-03	3.18E-04
0.124	1.24E-01	7.81E-03	3.33E-04
0.126	1.26E-01	8.06E-03	3.49E-04
0.128	1.28E-01	8.32E-03	3.66E-04
0.13	1.30E-01	8.58E-03	3.83E-04
0.132	1.32E-01	8.84E-03	4.01E-04
0.134	1.34E-01	9.11E-03	4.19E-04
0.136	1.36E-01	9.38E-03	4.38E-04
0.138	1.38E-01	9.66E-03	4.57E-04
0.14	1.40E-01	9.94E-03	4.77E-04
0.142	1.42E-01	1.02E-02	4.98E-04
0.144	1.44E-01	1.05E-02	5.19E-04
0.146	1.46E-01	1.08E-02	5.40E-04
0.148	1.48E-01	1.11E-02	5.62E-04
0.15	1.50E-01	1.14E-02	5.85E-04
0.152	1.52E-01	1.17E-02	6.09E-04
0.154	1.54E-01	1.20E-02	6.33E-04
0.156	1.56E-01	1.23E-02	6.57E-04
0.158	1.58E-01	1.26E-02	6.83E-04
0.16	1.60E-01	1.30E-02	7.08E-04
0.162	1.62E-01	1.33E-02	7.35E-04
0.164	1.64E-01	1.36E-02	7.62E-04
0.166	1.66E-01	1.39E-02	7.90E-04
0.168	1.68E-01	1.43E-02	8.19E-04
0.17	1.70E-01	1.46E-02	8.48E-04
0.172	1.72E-01	1.50E-02	8.78E-04
0.174	1.74E-01	1.53E-02	9.09E-04
0.176	1.76E-01	1.57E-02	9.40E-04
0.178	1.78E-01	1.60E-02	9.72E-04
0.18	1.80E-01	1.64E-02	1.00E-03
0.182	1.82E-01	1.67E-02	1.04E-03
0.184	1.84E-01	1.71E-02	1.07E-03
0.186	1.86E-01	1.75E-02	1.11E-03
0.188	1.88E-01	1.79E-02	1.14E-03
0.19	1.90E-01	1.82E-02	1.18E-03
0.192	1.92E-01	1.86E-02	1.22E-03
0.194	1.94E-01	1.90E-02	1.25E-03
0.196	1.96E-01	1.94E-02	1.29E-03
0.198	1.98E-01	1.98E-02	1.33E-03
0.2	2.00E-01	2.02E-02	1.37E-03
0.202	2.02E-01	2.06E-02	1.41E-03
0.204	2.04E-01	2.10E-02	1.46E-03
0.206	2.06E-01	2.14E-02	1.50E-03
0.208	2.08E-01	2.18E-02	1.54E-03
0.21	2.10E-01	2.23E-02	1.59E-03
0.212	2.12E-01	2.27E-02	1.63E-03
0.214	2.14E-01	2.31E-02	1.68E-03
0.216	2.16E-01	2.35E-02	1.73E-03
0.218	2.18E-01	2.40E-02	1.77E-03
0.22	2.20E-01	2.44E-02	1.82E-03
0.222	2.22E-01	2.49E-02	1.87E-03
0.224	2.24E-01	2.53E-02	1.92E-03
0.226	2.26E-01	2.58E-02	1.98E-03
0.228	2.28E-01	2.62E-02	2.03E-03
0.23	2.30E-01	2.67E-02	2.08E-03
0.232	2.32E-01	2.71E-02	2.14E-03
0.234	2.34E-01	2.76E-02	2.19E-03
0.236	2.36E-01	2.81E-02	2.25E-03
0.238	2.38E-01	2.86E-02	2.30E-03
0.24	2.40E-01	2.90E-02	2.36E-03
0.242	2.42E-01	2.95E-02	2.42E-03
0.244	2.44E-01	3.00E-02	2.48E-03
0.246	2.46E-01	3.05E-02	2.54E-03
0.248	2.48E-01	3.10E-02	2.60E-03
0.25	2.50E-01	3.15E-02	2.67E-03
0.252	2.52E-01	3.20E-02	2.73E-03
0.254	2.54E-01	3.25E-02	2.80E-03
0.256	2.56E-01	3.30E-02	2.86E-03
0.258	2.58E-01	3.35E-02	2.93E-03
0.26	2.60E-01	3.41E-02	3.00E-03
0.262	2.62E-01	3.46E-02	3.07E-03
0.264	2.64E-01	3.51E-02	3.14E-03
0.266	2.66E-01	3.56E-02	3.21E-03
0.268	2.68E-01	3.62E-02	3.28E-03
0.27	2.70E-01	3.67E-02	3.35E-03
0.272	2.72E-01	3.73E-02	3.43E-03
0.274	2.74E-01	3.78E-02	3.50E-03
0.276	2.76E-01	3.84E-02	3.58E-03
0.278	2.78E-01	3.89E-02	3.66E-03
0.28	2.80E-01	3.95E-02	3.74E-03
0.282	2.82E-01	4.00E-02	3.82E-03
0.284	2.84E-01	4.06E-02	3.90E-03
0.286	2.86E-01	4.12E-02	3.98E-03
0.288	2.88E-01	4.18E-02	4.06E-03
0.29	2.90E-01	4.23E-02	4.15E-03
0.292	2.92E-01	4.29E-02	4.24E-03
0.294	2.94E-01	4.35E-02	4.32E-03
0.296	2.96E-01	4.41E-02	4.41E-03
0.298	2.98E-01	4.47E-02	4.50E-03
0.3	3.00E-01	4.53E-02	4.59E-03
0.302	3.02E-01	4.59E-02	4.68E-03
0.304	3.04E-01	4.65E-02	4.78E-03
0.306	3.06E-01	4.71E-02	4.87E-03
0.308	3.08E-01	4.77E-02	4.96E-03
0.31	3.10E-01	4.84E-02	5.06E-03
0.312	3.12E-01	4.90E-02	5.16E-03
0.314	3.14E-01	4.96E-02	5.26E-03
0.316	3.16E-01	5.02E-02	5.36E-03
0.318	3.18E-01	5.09E-02	5.46E-03
0.32	3.20E-01	5.15E-02	5.56E-03
0.322	3.22E-01	5.22E-02	5.67E-03
0.324	3.24E-01	5.28E-02	5.77E-03
0.326	3.26E-01	5.35E-02	5.88E-03
0.328	3.28E-01	5.41E-02	5.99E-03
0.33	3.30E-01	5.48E-02	6.10E-03
0.332	3.32E-01	5.54E-02	6.21E-03
0.334	3.34E-01	5.61E-02	6.32E-03
0.336	3.36E-01	5.68E-02	6.44E-03
0.338	3.38E-01	5.75E-02	6.55E-03
0.34	3.40E-01	5.81E-02	6.67E-03
0.342	3.42E-01	5.88E-02	6.78E-03
0.344	3.44E-01	5.95E-02	6.90E-03
0.346	3.46E-01	6.02E-02	7.02E-03
0.348	3.48E-01	6.09E-02	7.15E-03
0.35	3.50E-01	6.16E-02	7.27E-03
0.352	3.52E-01	6.23E-02	7.39E-03
0.354	3.54E-01	6.30E-02	7.52E-03
0.356	3.56E-01	6.37E-02	7.65E-03
0.358	3.58E-01	6.44E-02	7.78E-03
0.36	3.60E-01	6.52E-02	7.91E-03
0.362	3.62E-01	6.59E-02	8.04E-03
0.364	3.64E-01	6.66E-02	8.17E-03
0.366	3.66E-01	6.73E-02	8.31E-03
0.368	3.68E-01	6.81E-02	8.44E-03
0.37	3.70E-01	6.88E-02	8.58E-03
0.372	3.72E-01	6.96E-02	8.72E-03
